Classificacao,P/L,P/VP,DY,P/Ativo,ROE,P/Cap.Giro,P/EBIT,PSR,ROIC
C3,13.02,1.32,0.0,689.0,101.0,2.44,6.26,675.0,0.1231
C2,1.74,0.91,0.0,102.0,0.5216,-0.88,0.7,118.0,0.1685
C3,11.15,2.06,1.0,245.0,0.1852,-2.59,2.3,727.0,0.1203
C2,0.0,2.86,0.0,792.0,0.0,6.21,0.0,0.0,0.0
C2,0.0,2.79,0.0,771.0,0.0,6.05,0.0,0.0,0.0
C3,10.8,4.19,0.0828,868.0,0.3882,20.57,6.59,3075.0,0.1522
C3,7.99,2.31,0.1728,612.0,0.2883,8.84,3.72,781.0,0.1958
C3,9.17,2.64,0.1658,702.0,0.2883,10.14,4.27,895.0,0.1958
C2,5.65,4.3,0.0,321.0,0.7609,-4.79,2.55,502.0,0.1469
C2,1.83,1.39,0.0,104.0,0.7609,-1.55,0.83,163.0,0.1469
C2,3.49,2.66,0.0,198.0,0.7609,-2.96,1.58,311.0,0.1469
C2,3.46,2.63,0.0,196.0,0.7609,-2.93,1.56,308.0,0.1469
C3,12.67,1.12,0.0087,590.0,0.0885,11.55,7.57,2704.0,0.1126
C2,13.01,1.76,0.0294,319.0,135.0,6.33,3.57,774.0,0.1068
C3,19.71,2.66,0.0194,484.0,135.0,9.6,5.41,1173.0,0.1068
C2,11.1,1.5,0.0345,273.0,135.0,5.41,3.05,661.0,0.1068
C1,-9.29,0.77,0.0,686.0,-0.0832,0.96,-4.95,1973.0,-0.5193
C3,14.01,4.19,0.0498,1080.0,0.2993,32.13,7.74,1954.0,0.1583
C2,4.77,1.75,0.0779,954.0,0.3676,2.63,3.56,214.0,0.3601
C2,0.99,0.36,0.0,197.0,0.3676,0.54,0.74,44.0,0.3601
C2,5.73,1.24,0.0979,536.0,0.2156,7.65,3.82,896.0,0.1696
C3,7.68,3.63,0.1439,1051.0,0.4723,8.92,5.31,1496.0,0.2395
C3,10.32,4.87,0.1071,1412.0,0.4723,11.99,7.13,2010.0,0.2395
C3,12.33,5.82,0.0896,1687.0,0.4723,14.33,8.52,2402.0,0.2395
C3,8.59,4.06,0.1287,1175.0,0.4723,9.98,5.93,1673.0,0.2395
C3,23.64,2.09,0.0102,406.0,0.0885,6.01,5.41,1138.0,0.0878
C2,2.21,0.65,0.0,160.0,293.0,-0.94,0.96,201.0,0.1857
C2,21.98,0.77,0.0,249.0,0.0351,2.62,3.23,498.0,0.0899
C2,7.03,0.79,0.0437,453.0,0.1126,1.5,5.32,461.0,0.0947
C2,7.79,0.88,0.0,501.0,0.1126,1.66,5.89,511.0,0.0947
