Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
GUAR3   6.45    -19.90     0.65    0.372      0.00    0.234      0.96       15.27      -31.96      23.41       5.95    0.0244      -0.0187     1.62    0.0194      -0.0324 11259600.00
QUAL3   2.78    -19.71     0.60    0.441      0.0284  0.169      3.55       1.89       -0.46       5.01        2.37    0.2333      -0.0183     1.16    0.1264      -0.0302 19783500.00
COGN3   3.13    -19.64     0.49    1.034      0.00    0.233      7.58       4.57       -0.76       9.30        6.11    0.2262      -0.0552     1.21    0.0564      -0.0247 61283000.00
AMBP3   14.86   -19.56     2.51    0.526      0.0061  0.236      0.99       2.60       -0.57       7.33        5.18    0.2025      -0.0063     2.30    0.1267      -0.1282 23947500.00
CRBM7   60.00   -19.30     2.18    0.999      0.00    0.782      1.99       -10.30     11.26       -9.02       -9.02   -0.097      -0.0518     2.24    -0.1271     -0.1128 0.00   
WMBY3   25.39   -19.30     2.87    0.836      0.00    0.182      1.20       8.62       -1.50       25.02       25.02   0.097       -0.0705     1.44    0.0239      -0.1486 0.00   
ORVR3   35.24   -19.12     4.73    3.862      0.00    1.306      8.78       31.31      -3.02       41.42       14.08   0.1233      -0.1937     2.22    0.047       -0.2476 11507700.00
TDBH4   0.66    -18.63     1.28    0.906      0.00    0.811      -6.15      8.73       -5.66       10.23       10.23   0.1038      -0.0486     0.63    0.1048      -0.0685 0.00   
TANC4   43.00   -18.54     3.10    0.511      0.00    0.428      -25.37     7.96       -0.78       16.20       8.69    0.0641      -0.0221     0.95    0.0636      -0.167 0.00   
MYPK3   12.04   -17.98     0.48    0.118      0.025   0.123      0.63       2.72       -0.65       8.32        4.88    0.0436      -0.0003     1.58    0.0685      -0.0268 16985900.00
OPCT3   5.60    -16.67     1.41    0.724      0.00    0.463      5.38       5.43       -1.24       10.17       4.61    0.1334      0.0527      1.41    0.0999      -0.0845 2776540.00
ANIM3   3.83    -16.58     0.61    0.421      0.00    0.156      8.85       2.51       -0.31       9.00        4.76    0.1678      0.0157      1.10    0.0712      -0.0366 27198200.00
CCIM3   5.52    -16.44     0.94    0.498      0.00    0.198      0.53       8.96       -1.09       25.04       38.84   0.0555      -0.0303     2.58    0.0238      -0.0575 0.00   
SYNE3   4.21    -16.38     0.43    1.515      0.00    0.160      1.98       4.44       -0.62       9.13        6.25    0.3408      -0.0635     4.01    0.0392      -0.026 1884700.00
CASH3   7.15    -15.93     0.79    1.808      0.00    0.515      1.05       -8.16      1.16        -2.65       -3.59   -0.2215     -0.0718     2.65    -0.0979     -0.0498 16167100.00
TDBH3   0.56    -15.81     1.08    0.769      0.00    0.688      -5.22      7.40       -4.80       8.91        8.91    0.1038      -0.0486     0.63    0.1048      -0.0685 0.00   
TELB4   11.90   -15.14     0.65    2.587      0.00    0.254      0.80       -3.31      -1.21       0.33        1.65    -0.7809     -0.1709     4.96    -0.1171     -0.0428 54830.30
RCSL3   1.63    -15.00     1788.63 3.357      0.00    3.384      24.92      -104.84    -6.66       -104.82     -296.76 -0.032      -0.227      1.38    -0.0335     -119.207 3559160.00
GBIO33  10.40   -14.97     1.32    1.518      0.00    0.791      7.57       13.53      17.58       16.06       16.06   0.1121      -0.1014     1.31    0.0712      -0.0883 0.00   
ZAMP3   6.10    -14.59     1.26    0.440      0.00    0.422      63.14      17.66      -0.93       25.64       4.64    0.0249      -0.0302     1.03    0.0286      -0.0865 15148800.00
LECO4   1.46    -13.48     2.00    0.637      0.00    0.924      -16.84     -29.69     -3.16       -32.69      -32.69  -0.0214     -0.0472     0.82    -0.0348     -0.1482 0.00   
SEDU3   23.80   -13.36     15.00   3.443      0.00    1.531      57.90      -22.47     -2.67       -28.68      -69.64  -0.1533     -0.2573     1.09    -0.0815     -1.1229 0.00   
TESA3   48.00   -13.30     1.62    1.007      0.00    0.523      -11.10     9.41       -1.35       15.25       10.09   0.1071      -0.0758     0.86    0.0642      -0.1218 0.00   
IGUA3   8.15    -12.52     -1.44   0.568      0.00    0.564      -0.65      8.22       -0.60       14.80       5.80    0.0691      -0.0453     0.34    0.0761      0.1152 0.00   
FGUI3   12.00   -12.41     -2.15   16.009     0.00    25.203     -2.20      -57.76     -2.05       -70.17      -70.17  -0.2772     -1.29       0.04    -0.6074     0.1732 0.00   
IGUA6   8.07    -12.40     -1.43   0.562      0.00    0.558      -0.64      8.14       -0.59       14.72       5.77    0.0691      -0.0453     0.34    0.0761      0.1152 0.00   
IGUA5   7.98    -12.26     -1.41   0.556      0.00    0.552      -0.64      8.04       -0.59       14.63       5.73    0.0691      -0.0453     0.34    0.0761      0.1152 0.00   
PRVI3   10.54   -11.74     1.61    0.919      0.00    0.565      -250.86    9.71       -1.48       9.87        6.39    0.0946      -0.0783     0.99    0.0615      -0.1371 0.00   
MTIG3   5.21    -11.22     -81.36  12.686     0.00    8.360      -11.54     -21.36     -9.97       -22.62      -24.76  -0.5938     -1.1309     0.27    -0.478      7.2528 0.00   
CPNY3   2.35    -11.00     0.42    0.232      0.00    0.054      0.20       1.21       -0.13       4.21        4.21    0.1913      -0.0211     2.26    0.0548      -0.0386 0.00   
ARTR3   10.01   -10.24     1.17    0.995      0.00    0.299      -11.30     3.08       -0.47       8.79        5.47    0.3231      -0.0972     0.79    0.1072      -0.1144 0.00   
ECPR4   90.74   -9.92      1.22    0.000      0.00    0.624      175.57     -82.97     -1.29       -82.60      -82.72  0.00        0.00        2.97    -0.0075     -0.1228 0.00   
ECPR3   90.25   -9.87      1.21    0.000      0.00    0.621      174.62     -82.52     -1.29       -82.15      -82.27  0.00        0.00        2.97    -0.0075     -0.1228 0.00   
RCSL4   1.04    -9.57      1141.21 2.142      0.00    2.159      15.90      -66.89     -4.25       -66.87      -189.32 -0.032      -0.227      1.38    -0.0335     -119.207 3568860.00
PTBL4   2.59    -9.07      0.96    0.171      0.00    0.120      -16.29     2.80       -0.25       9.45        4.77    0.0612      -0.0189     0.98    0.058       -0.1054 0.00   
BIOM4   8.68    -9.06      7.81    6.212      0.00    2.279      22.25      -11.06     -6.50       -12.63      -12.50  -0.5617     -0.686      1.40    -0.2604     -0.8626 0.00   
